"","Player","Points","Total_Rebounds","Assists","Steals","Blocks","Missed_Field_Goals","Missed_Free_Throws","Turnovers","Games","EFF","Salary"
"216","Donald Sloan",424,173,268,32,4,-196,-26,-80,61,-3.64114711584885,1015421
"217","Jarrett Jack",411,136,236,34,7,-218,-12,-94,32,-6.55451943253749,6300000
"218","Shane Larkin",566,180,342,95,12,-280,-24,-146,78,-4.30137673846137,1500000
"219","Aaron Brooks",491,101,180,30,10,-281,-15,-82,69,-2.97388536478982,2e+06
"220","Derrick Rose",1080,225,311,44,14,-601,-37,-175,66,-6.22827777361729,20093063
"221","Kirk Hinrich",132,58,59,13,1,-71,-1,-27,35,-1.84259450712375,NA
"222","Brian Roberts",145,29,38,7,1,-64,-3,-16,30,-1.55706452635521,NA
"223","Jorge Gutierrez",22,7,17,3,0,-5,-1,-6,12,-0.986075249962783,301444
"224","Kemba Walker",1689,357,421,126,39,-763,-67,-171,81,-7.8673397963248,1.2e+07
"225","Jordan McRae",62,12,15,0,1,-29,-4,-9,15,-1.45412781958639,172972
"226","Kyrie Irving",1041,157,249,56,18,-485,-22,-124,53,-6.52033444095184,14746000
"227","Matthew Dellavedova",569,162,337,44,9,-304,-9,-116,76,-3.56022923794514,1147280
"228","Mo Williams",338,72,98,14,5,-170,-4,-57,41,-2.98150012583844,2100000
"229","Deron Williams",918,190,378,61,14,-454,-27,-150,65,-5.76347428973654,5500000
"230","Devin Harris",487,138,118,60,13,-207,-39,-66,64,-3.62046491838449,4053000
"231","J.J. Barea",808,152,302,26,2,-394,-22,-113,74,-3.75192066252784,4e+06
"232","Raymond Felton",763,258,284,68,15,-405,-27,-121,80,-4.43572002086617,3950313
"233","D.J. Augustin",325,52,132,25,2,-127,-17,-54,28,-4.57691305658179,3e+06
"234","Emmanuel Mudiay",872,232,372,65,35,-576,-69,-217,68,-7.25618452696616,3102240
"235","Erick Green",0,1,1,0,0,-1,0,0,3,-0.18589925697525,1e+05
"236","Jameer Nelson",299,115,190,25,5,-194,-5,-66,39,-4.12077168242577,4500000
"237","Brandon Jennings",157,46,70,11,2,-90,-11,-22,23,-3.20631304353236,NA
"238","Reggie Jackson",1489,253,492,59,11,-704,-46,-223,79,-6.57840861948936,1.4e+07
"239","Spencer Dinwiddie",58,17,22,3,0,-35,-14,-7,12,-2.73676745313221,845059
"240","Steve Blake",254,89,200,24,5,-147,-4,-81,58,-2.59745654881474,2170465
"241","Shaun Livingston",488,169,237,57,27,-176,-13,-78,78,-3.2739099193087,5543725
"242","Stephen Curry",2375,430,527,169,15,-793,-37,-262,79,-9.1947339755025,11370786
"243","Andrew Goudelock",22,2,4,6,2,-11,-1,-7,8,-1.83074743648273,200600
"244","Patrick Beverley",700,250,239,94,26,-336,-28,-91,71,-4.98235443481068,6500000
"245","Ty Lawson",309,89,180,43,6,-176,-24,-82,53,-3.51338202990732,12404495
"246","George Hill",894,298,259,83,17,-413,-36,-101,74,-5.17112321101759,8e+06
"247","Joseph Young",154,50,65,15,0,-107,-5,-33,41,-1.84414240503595,1e+06
"248","Rodney Stuckey",517,156,142,43,8,-260,-27,-76,58,-3.88230751982053,6500000
"249","Ty Lawson",64,31,57,10,1,-39,-3,-13,13,-3.26306992409521,265058
"250","Chris Paul",1446,310,738,152,13,-599,-34,-194,74,-8.09984950017385,21468696
"251","Pablo Prigioni",145,114,130,53,1,-92,-1,-49,59,-2.19932641562426,981348
"252","D'Angelo Russell",1054,274,266,93,13,-564,-50,-196,80,-5.7545242846022,5103120
"253","Marcelo Huertas",237,90,182,26,7,-133,-2,-80,53,-2.77608134270361,525093
"254","Beno Udrih",47,9,26,3,1,-26,0,-11,8,-2.62108385570712,NA
"255","Briante Weber",29,24,20,9,3,-25,-1,-9,6,-4.9169045453806,30888
"256","Bryce Cotton",4,0,0,0,0,0,0,0,5,-0.0494687801288366,64622
"257","Elliot Williams",8,4,4,0,0,-8,-1,-1,5,-0.906205407076032,55722
"258","Jordan Farmar",110,25,37,15,2,-58,0,-18,12,-3.97246968537548,191456
"259","Mario Chalmers",595,143,211,80,12,-240,-43,-101,55,-5.24865531432239,4300000
"260","Mike Conley",857,164,342,67,16,-402,-38,-84,56,-6.07656128509646,9588426
"261","Ray McCallum",69,16,27,7,3,-51,-2,-13,10,-3.58888439672589,111444
"262","Russ Smith",23,9,11,5,1,-15,-5,-7,15,-1.29147896917976,816482
"263","Beno Udrih",158,63,90,11,0,-86,-2,-42,36,-2.18216934927986,2170465
"264","Briante Weber",2,1,1,0,0,0,0,0,1,-0.536848501789678,12355
"265","Goran Dragic",1018,277,419,71,17,-458,-45,-185,72,-6.25069113306308,14780000
"266","Mario Chalmers",33,14,19,8,1,-22,-1,-9,6,-3.8475613351212,NA
"267","Giannis Antetokounmpo",1350,612,345,94,113,-500,-113,-208,80,-9.59741682498598,1953960
"268","Greivis Vasquez",130,47,91,10,0,-93,-4,-40,23,-3.22082351136961,6600000
"269","Michael Carter-Williams",623,276,281,80,41,-304,-56,-153,54,-7.73399888171843,2399040
"270","Tyler Ennis",206,75,95,25,1,-103,-9,-46,46,-2.30642256298776,1662360
"271","Andre Miller",88,24,58,9,0,-22,-4,-25,26,-1.66908208170319,1499187
"272","Ricky Rubio",766,326,658,162,10,-367,-48,-193,76,-6.95846980431789,12365000
"273","Tyus Jones",156,47,108,31,3,-100,-11,-33,37,-2.72372469417761,1282080
"274","Ish Smith",239,92,154,24,6,-130,-10,-45,27,-4.90980426860216,NA
"275","Jrue Holiday",1089,195,391,88,22,-525,-34,-167,65,-6.78544929949093,10595507
"276","Nate Robinson",0,0,4,1,0,-1,0,0,2,-0.726465295113483,44000
"277","Norris Cole",477,151,167,37,5,-288,-13,-75,45,-4.64832823466616,3036927
"278","Tim Frazier",210,71,120,23,1,-93,-14,-38,16,-6.71017946492032,144157
"279","Toney Douglas",531,143,157,70,5,-262,-15,-64,61,-3.68246462494839,1164858
"280","Jerian Grant",426,143,177,50,10,-237,-27,-87,76,-3.03246422727861,1572360
"281","Jose Calderon",544,229,299,63,7,-246,-6,-87,72,-3.71555342159238,7402812
"282","Langston Galloway",625,288,207,77,22,-357,-28,-61,82,-3.993479862911,845059
"283","Cameron Payne",283,85,108,36,6,-164,-5,-44,57,-2.36359833082729,2021520
"284","D.J. Augustin",142,43,66,13,2,-75,-8,-30,34,-2.09905934411004,NA
"285","Russell Westbrook",1878,626,834,163,20,-788,-108,-342,80,-11.0915054131968,16744218
"286","Brandon Jennings",175,50,100,18,5,-102,-10,-35,25,-3.83156976594876,8344497
"287","C.J. Watson",142,66,88,19,5,-90,-5,-25,33,-2.62766270911471,5e+06
"288","Elfrid Payton",778,261,468,89,20,-412,-78,-177,73,-6.47390022614758,2505720
"289","Keith Appling",6,1,1,1,0,-6,0,-3,5,-0.707956595516758,161776
"290","Shabazz Napier",203,55,97,23,1,-133,-12,-46,55,-1.93782731492884,1294440
"291","Ish Smith",733,213,348,64,18,-440,-44,-130,50,-7.51819778875791,1100602
"292","Kendall Marshall",111,28,73,16,2,-75,-4,-43,30,-2.35744511063706,2144722
"293","Phil Pressey",55,23,46,11,1,-34,-9,-19,14,-3.2429445105405,172739
"294","T.J. McConnell",493,250,367,95,10,-246,-15,-140,81,-4.13830785702725,525093
"295","Tony Wroten",67,21,20,3,0,-43,-17,-29,8,-5.82762759475153,2179354
"296","Archie Goodwin",505,142,118,27,13,-246,-63,-100,57,-4.39797422065848,1160160
"297","Bryce Cotton",4,0,3,3,0,-6,0,-5,3,-1.87911498232933,228663
"298","Eric Bledsoe",632,125,190,63,19,-269,-34,-110,31,-9.09511407207853,13086957
