"","player","PTS","TRB","AST","STL","BLK","missed_fg","missed_ft","TOV","G","EFF","salary"
"87","Boris Diaw",72,40,43,6,5,34,3,15,14,-7.75489941193481,7e+06
"88","Brandan Wright",46,24,4,1,10,12,8,4,7,-6.66128180317884,5500000
"89","Brandon Bass",69,59,11,4,7,26,3,13,13,-7.06543710057873,3e+06
"90","Charlie Villanueva",86,40,7,1,5,51,1,6,13,-6.83670240254578,1499187
"91","Chris Bosh",233,122,21,11,15,99,14,13,13,-17.2117145499702,22192730
"92","Chris Copeland",37,6,6,2,0,23,1,3,11,-3.33603218064509,1100000
"93","Christian Wood",43,28,3,4,5,22,3,2,11,-4.33262349064793,525093
"94","Cliff Alexander",8,6,0,0,2,5,0,0,4,-2.17596938054355,525093
"95","Cory Jefferson",2,2,0,0,0,2,2,0,1,-4.153303873858,845059
"96","Darrell Arthur",77,55,14,6,10,53,3,8,14,-7.69462640673979,2814000
"97","David Lee",97,57,22,6,4,37,5,19,14,-8.64454243913478,15493680
"98","David West",76,50,28,5,5,28,4,20,14,-7.92206150742733,1499000
"99","DeMarcus Cousins",279,112,25,8,15,110,25,33,10,-27.8791020193714,14728844
"100","Derrick Favors",205,116,20,25,19,75,19,22,13,-17.2864495530094,11933333
"101","Derrick Williams",103,35,11,9,4,52,14,10,15,-7.46129317483093,4900000
"102","Dirk Nowitzki",248,93,21,8,8,86,4,14,14,-13.8847171929167,8333334
"103","Draymond Green",203,125,106,19,21,79,7,42,16,-18.3535638890549,14300000
"104","Drew Gooden",16,27,3,3,4,19,0,3,6,-6.46554192252104,3300000
"105","Dwight Powell",148,108,20,10,12,51,16,13,15,-10.9524694842705,845059
"106","Ed Davis",108,117,19,11,13,25,19,18,16,-9.48480468982098,7e+06
"107","Eric Moreland",2,3,0,0,1,1,2,0,3,-1.4030324540868,845059
"108","Ersan Ilyasova",132,50,18,7,6,62,6,17,14,-10.0505393079296,7900000
"109","Glenn Robinson III",60,18,4,6,2,20,5,5,10,-5.16824479675811,845000
"110","Jabari Parker",72,25,7,4,3,30,2,6,8,-8.12389616820052,5152440
"111","James Johnson",40,27,11,5,6,12,6,15,11,-6.17073047441251,2500000
"112","James Michael McAdoo",26,14,5,3,0,7,11,5,12,-3.00139480978108,845059
"113","JaMychal Green",105,75,7,8,7,43,5,19,15,-8.68590798068205,845059
"114","Jared Dudley",57,37,10,6,3,21,2,8,10,-6.610891632741,4250000
"115","Jared Sullinger",149,120,34,15,10,75,7,17,14,-14.0640531557032,2269260
"116","Johnny O'Bryant",56,50,12,3,4,31,5,5,14,-5.42403297172565,845059
"117","Jon Leuer",78,67,14,7,3,42,5,10,14,-7.62445347286422,1035000
"118","Jonas Jerebko",46,38,12,2,3,26,0,13,14,-5.32859460296334,5e+06
"119","Jordan Hill",119,108,18,13,4,64,9,18,13,-13.1028592313029,4e+06
"120","Jordan Mickey",5,3,1,0,1,1,0,0,2,-1.90066777645294,1200000
"121","Josh McRoberts",28,42,23,7,1,23,4,11,13,-5.89549089744779,5543725
"122","Josh Smith",69,59,20,6,19,45,8,22,14,-9.6992839305047,1499000
"123","Josh Smith",69,59,20,6,19,45,8,22,14,-9.6992839305047,5400000
"124","Julius Randle",156,120,31,9,8,79,17,26,14,-15.6108608556303,3132240
"125","Kenneth Faried",162,118,14,8,12,49,15,20,13,-13.6245267775852,11235955
"126","Kevin Garnett",36,64,16,11,2,18,4,4,12,-5.88600189287099,8500000
"127","Kevin Love",272,164,36,9,9,118,7,35,14,-21.3945387712339,19500000
"128","Kosta Koufos",122,96,5,11,15,48,8,11,15,-9.22101384163833,7500000
"129","Kris Humphries",82,50,7,1,6,40,0,9,11,-8.05919123039139,4600000
"130","Kristaps Porzingis",205,137,12,11,23,101,8,25,15,-16.1671479856351,4131720
"131","Kyle O'Quinn",61,55,14,5,14,31,3,14,13,-7.62772551097803,3750000
"132","LaMarcus Aldridge",183,119,22,2,11,93,7,19,12,-17.3834377439043,19500000
"133","Larry Nance Jr.",45,33,6,2,0,18,2,4,9,-5.33075239458103,1155600
"134","Lavoy Allen",57,71,20,5,7,41,6,13,13,-8.70095375123785,3700000
"135","Lou Amundson",19,15,3,2,3,7,5,2,7,-3.67219136815963,1650000
"136","Luc Mbah a Moute",13,12,1,3,1,7,0,1,11,-1.54093196936035,1270964
"137","Luis Scola",154,93,14,10,4,73,4,16,15,-11.140083811492,3e+06
"138","Markieff Morris",164,66,20,11,6,96,8,27,12,-16.7776044999206,8e+06
"139","Marreese Speights",61,47,6,3,6,46,5,15,13,-7.90262865942858,3815000
"140","Marvin Williams",140,99,20,10,17,61,3,13,14,-11.4269709376625,7e+06
"141","Meyers Leonard",76,40,15,2,5,38,1,8,9,-9.38164494403363,3075880
"142","Mike Muscala",34,13,6,3,5,11,2,4,10,-3.47212047116929,947276
"143","Mike Scott",66,25,15,2,1,28,1,8,14,-4.77396844206535,3333333
"144","Mirza Teletovic",83,39,16,6,4,48,1,7,14,-6.6725396572727,5500000
"145","Mitch McGary",9,9,2,0,1,3,3,5,6,-3.29358400224849,1463040
"146","Montrezl Harrell",52,24,2,3,5,9,9,8,13,-3.92050588150873,1e+06
"147","Nemanja Bjelica",87,72,26,6,5,39,8,11,12,-9.79973408857269,4e+06
"148","Nene Hilario",85,55,22,7,1,22,15,10,10,-9.69535202091751,1.3e+07
"149","Nerlens Noel",139,110,16,20,13,78,15,40,13,-18.0190462028296,3457800
"150","Nick Collison",38,42,14,7,6,16,0,14,12,-6.11803205665256,3750000
"151","Nikola Mirotic",156,85,19,12,3,81,8,29,13,-15.2610284598136,5543725
"152","Noah Vonleh",45,50,5,1,6,32,3,13,16,-5.24247231475989,2637720
"153","Patrick Patterson",83,55,14,10,3,53,0,17,15,-8.0883936554319,6268675
"154","Paul George",363,118,67,23,2,142,15,50,14,-26.043772759422,17120106
"155","Paul Millsap",293,149,58,33,18,107,20,42,16,-20.9461203391525,1.9e+07
"156","Quincy Acy",11,10,5,2,2,3,2,3,7,-2.73698982767449,981348
"157","Richaun Holmes",36,16,4,1,6,13,6,3,7,-5.35375236461948,1050000
"158","Ryan Anderson",270,98,15,7,6,110,6,24,14,-16.7027684040044,8500000
"159","Ryan Kelly",21,21,6,3,5,14,2,4,6,-6.35285433187919,1724250
"160","Serge Ibaka",194,112,17,5,37,102,8,23,15,-15.4958787172191,12250000
"161","Shayne Whittington",0,0,0,0,0,0,0,2,1,-3.45112928654624,845059
"162","Spencer Hawes",70,48,30,4,4,44,4,14,14,-7.93927948348627,5543725
"163","Steve Novak",3,1,0,0,0,0,0,0,1,-0.955304717978058,3750000
"164","Taj Gibson",87,69,17,5,14,35,11,14,13,-9.20850103580834,8500000
"165","Terrence Jones",116,50,11,5,10,50,15,10,9,-13.3519485590827,2489530
"166","Thaddeus Young",214,118,20,21,7,88,10,22,14,-16.0043931287316,11200000
"167","Thomas Robinson",51,63,3,5,8,19,8,14,14,-6.2420944251761,981300
"168","Tobias Harris",203,110,31,11,9,91,10,27,14,-16.4586185999937,1.6e+07
"169","Trevor Booker",41,63,10,10,6,46,0,10,12,-8.25908310201945,4775000
"170","Trey Lyles",19,24,3,1,1,19,2,5,11,-3.6947412251563,2239800
"171","Tristan Thompson",109,141,13,6,10,30,15,11,14,-10.3307657318641,14260870
"172","Tyler Hansbrough",11,4,1,1,0,5,0,1,4,-2.55906275816212,1185784
"173","Udonis Haslem",6,6,1,1,0,2,0,1,3,-2.61174122732785,2854940
"174","Zach Randolph",174,104,21,10,1,81,5,27,12,-16.9252293197681,9638555
"175","Aaron Brooks",85,24,23,3,2,43,1,8,10,8.91455724228896,2e+06
"176","Andre Miller",29,11,23,6,0,10,1,10,7,7.11156398048605,1499187
"177","Beno Udrih",4,4,1,0,0,2,0,2,2,3.81349393169664,2170465
"178","Beno Udrih",47,9,26,3,1,26,0,11,8,8.33308594998374,2170465
"179","Brian Roberts",14,4,5,0,0,11,1,1,7,2.67322560151157,2854940
"180","C.J. Watson",38,16,25,8,0,24,2,6,8,7.82995506427969,5e+06
"181","Cameron Payne",7,3,7,1,0,9,0,3,8,2.38377763369524,2021520
"182","Chris Paul",184,38,93,18,0,80,8,27,11,20.3491344172927,21468696
"183","Cory Joseph",143,42,47,11,3,48,7,15,15,9.65501180345193,7e+06
"184","D'Angelo Russell",143,62,40,14,4,84,4,23,14,13.7114888197329,5103120
"185","D.J. Augustin",94,23,37,10,1,41,7,22,15,8.44261772729213,3e+06
"186","Damian Lillard",402,73,115,19,5,196,12,57,16,27.3976290171933,4236287
"187","Darren Collison",127,14,42,10,0,68,6,19,10,14.818952671857,5013559
"188","Delon Wright",0,4,0,0,0,4,0,1,4,1.67055513219564,1509360
"189","Dennis Schroder",186,41,76,12,0,104,6,32,16,14.9601146057078,1763400
"190","Deron Williams",196,38,76,20,3,87,3,30,14,16.0433776434959,5500000
"191","Deron Williams",196,38,76,20,3,87,3,30,14,16.0433776434959,5500000
"192","Derrick Rose",153,34,66,6,3,104,6,28,11,19.8130253799144,20093063
"193","Devin Harris",102,37,33,19,6,59,15,14,14,10.7701648190075,4053000
"194","Donald Sloan",2,2,0,2,0,5,0,1,2,4.05695787073885,1015421
"195","Elfrid Payton",139,58,84,20,4,100,9,37,14,18.3521255905213,2505720
"196","Emmanuel Mudiay",187,56,94,17,13,140,15,63,15,23.4774338688633,3102240
"197","Eric Bledsoe",302,55,75,26,6,115,15,47,13,24.240902971829,13086957
"198","George Hill",154,41,42,17,3,66,9,22,11,15.9105961021709,8e+06
"199","Greivis Vasquez",100,34,64,7,0,68,3,27,14,12.2605186149401,6600000
"200","Isaiah Canaan",157,33,26,12,4,93,6,21,15,12.0089074482223,947276
"201","Isaiah Thomas",288,25,86,22,0,134,12,39,14,21.6017381105857,6912869
"202","Ish Smith",154,56,111,16,6,91,5,30,14,17.8082376195781,1100602
"203","J.J. Barea",130,33,62,4,1,72,5,29,15,12.1531692165606,4e+06
"204","Jameer Nelson",94,30,56,7,0,70,3,23,13,12.3366177419062,4500000
"205","Jarrett Jack",195,58,92,8,3,95,7,36,13,19.6266011897152,6300000
"206","Jeff Teague",217,33,85,18,7,104,10,38,13,20.4335345161424,8e+06
"207","Jeremy Lin",164,40,41,13,7,79,10,26,14,13.843453598291,2100000
"208","Jerian Grant",89,33,43,8,0,52,6,18,15,8.94830592429886,1572360
"209","John Wall",184,37,89,20,14,87,14,49,11,24.9783623550167,15851950
"210","Jose Calderon",109,33,51,16,0,51,0,16,15,9.06716704122383,7402812
"211","Joseph Young",9,3,4,2,0,8,1,3,5,3.69329786181125,1e+06
"212","Jrue Holiday",115,14,49,8,3,62,7,25,10,15.534549525869,10595507
"213","Kemba Walker",257,53,73,25,9,105,14,25,14,18.8579779277917,1.2e+07
"214","Kyle Lowry",302,69,97,40,8,132,10,48,15,23.5142078889779,1.2e+07
"215","Langston Galloway",152,61,31,18,2,64,8,9,15,10.3209375570227,845059
"216","Marcelo Huertas",30,15,23,3,1,15,0,13,8,7.29333120398293,525093
"217","Marcus Smart",88,34,29,16,3,56,10,15,9,15.0893976153863,3431040
"218","Mario Chalmers",33,14,19,8,1,22,1,9,6,10.0044784513027,4300000
"219","Mario Chalmers",86,10,16,12,1,29,6,7,6,12.5773566946956,4300000
"220","Michael Carter-Williams",108,31,47,12,7,49,9,31,9,18.2555074961954,2399040
"221","Mike Conley",230,43,98,20,1,114,8,24,15,17.5028310522202,9388426
"222","Mo Williams",171,38,58,7,1,69,3,24,11,16.1931314791567,2100000
"223","Pablo Prigioni",6,5,6,5,0,14,0,4,5,5.45201256525787,981348
"224","Patrick Beverley",33,22,8,5,1,25,0,10,7,8.41730021410676,6500000
"225","Patrick Mills",118,27,34,18,2,57,1,17,14,9.68156569842521,3578947
"226","Phil Pressey",39,13,31,5,0,18,4,11,9,7.50414301933425,902698
"227","Rajon Rondo",191,114,162,32,1,105,14,60,15,25.3522294776404,9500000
"228","Ramon Sessions",100,23,34,13,1,33,12,15,11,10.4710216096887,2170465
"229","Raul Neto",54,16,29,13,1,41,2,14,13,7.49548584592284,1e+06
"230","Ray McCallum",10,6,1,2,0,4,0,3,9,1.52910452554906,947276
"231","Raymond Felton",129,37,33,9,1,71,3,22,15,10.4910201284273,3950313
"232","Reggie Jackson",272,59,83,14,2,134,10,54,14,23.5638707790083,1.4e+07
"233","Ricky Rubio",113,49,87,18,1,61,7,23,10,19.0909887742554,12365000
"234","Rodney Stuckey",83,26,23,7,3,44,5,13,9,11.6542681520722,6500000
"235","Ronnie Price",48,10,18,11,2,21,1,10,12,5.24459908512,1499187
"236","Russ Smith",15,4,2,2,0,10,3,4,8,3.00779200211814,845059
"237","Russell Westbrook",422,113,152,36,6,166,22,75,15,33.3036734189309,16744218
"238","Seth Curry",20,1,6,0,0,5,0,0,6,1.86215666950923,947276
"239","Shabazz Napier",68,14,27,7,1,35,4,14,13,7.02227179517064,1294440
"240","Shane Larkin",97,29,42,18,2,42,3,22,14,9.56864011341098,1500000
"241","Shaun Livingston",68,27,31,7,3,30,1,13,14,6.49826284811979,5543725
"242","Shelvin Mack",27,9,12,5,0,17,0,5,7,5.6614324382673,2433333
"243","Spencer Dinwiddie",38,8,12,2,0,20,8,5,6,8.3558677465184,845059
"244","Stephen Curry",514,82,95,41,3,165,6,58,16,26.7762706689393,11370786
"245","Steve Blake",30,13,30,5,1,29,0,15,10,7.75838308567566,2170465
"246","T.J. McConnell",103,74,98,20,6,52,0,42,15,14.8735453313901,525093
"247","Terry Rozier",16,8,7,0,0,23,0,4,8,4.46901494570061,1824360
"248","Tim Frazier",2,3,5,2,0,2,0,2,8,1.2675864338712,845059
"249","Toney Douglas",89,18,25,12,0,43,1,15,12,8.57003854191572,1164858
"250","Toney Douglas",89,18,25,12,0,43,1,15,12,8.57003854191572,6e+05
"251","Tony Parker",189,25,63,13,1,61,8,28,14,13.262620722441,13437500
"252","Trey Burke",151,32,30,12,0,71,5,20,13,12.0983415398729,2658240
"253","Ty Lawson",108,41,69,17,3,78,13,35,14,15.468960934042,12404495
"254","Tyler Ennis",29,9,9,2,0,13,1,7,6,6.21036718576816,1662360
"255","Tyus Jones",1,1,1,1,0,5,1,0,2,3.52153079571745,1282080
"256","Zach LaVine",193,47,48,9,1,89,4,34,14,15.3317526870615,2148360
"257","Al-Farouq Aminu",195,122,29,9,15,105,11,31,16,-16.5411418712908,7500000
"258","Alonzo Gee",49,48,11,17,3,26,0,15,14,-6.43558456632908,1375000
"259","Anthony Brown",5,0,0,1,0,1,0,0,3,-0.749412724415129,7e+05
"260","Bojan Bogdanovic",133,42,13,10,0,68,6,22,14,-10.833648888135,3425510
"261","Bruno Caboclo",0,0,0,0,0,1,0,0,1,-0.937277327290127,1524000
"262","C.J. Miles",175,22,16,18,3,67,6,20,11,-13.9105807782406,4394225
"263","Carmelo Anthony",337,109,50,15,9,168,11,33,15,-23.5938655945803,22875000
"264","Caron Butler",20,9,2,4,0,14,1,2,7,-3.85521238750612,1499187
"265","Chandler Parsons",86,34,10,4,4,40,9,12,11,-9.13025315704668,15361500
"266","Chase Budinger",76,31,20,8,5,34,5,9,14,-6.53176182882365,5e+06
"267","Chris Johnson",18,9,2,1,0,11,2,2,10,-2.32519154597066,981348
"268","Cleanthony Early",7,2,1,1,0,1,0,0,5,-0.788576876339177,845059
"269","Corey Brewer",93,35,19,13,3,76,8,11,14,-10.1135368553158,8200000
"270","Damien Inglis",8,8,2,2,0,6,1,3,5,-3.50170928950949,855000
"271","Damjan Rudez",5,4,1,0,0,2,0,1,6,-1.06107237856378,1149500
"272","Danilo Gallinari",273,96,38,7,10,119,10,22,15,-17.7437251254943,1.4e+07
"273","Dante Cunningham",78,55,9,6,4,33,3,6,14,-6.33505627086996,3e+06
"274","DeMarre Carroll",160,59,15,24,3,89,11,18,12,-15.9455329303406,13500000
"275","Doug McDermott",123,28,9,2,1,48,2,8,13,-7.43378087588035,2380440
"276","Evan Fournier",263,56,39,20,0,113,8,26,14,-17.5887442957378,2288205
"277","Garrett Temple",53,20,10,4,0,25,3,5,9,-6.37991056614087,1100602
"278","Giannis Antetokounmpo",228,86,34,14,14,79,9,34,13,-18.2025421684983,1953960
"279","Gordon Hayward",215,63,38,10,3,104,15,29,13,-18.4279037278425,15409570
"280","Harrison Barnes",221,78,33,14,3,82,5,17,16,-12.5355549782454,3873398
"281","Jae Crowder",154,67,25,34,5,73,6,25,14,-13.9477911012335,6e+06
"282","JaKarr Sampson",86,42,6,4,1,32,9,20,15,-6.94563945009951,845059
"283","James Jones",45,13,5,2,2,23,3,3,14,-3.2902972852443,1499000
"284","Jeff Green",146,60,24,10,6,77,4,19,15,-11.5281849658099,9200000
"285","Jerami Grant",150,75,17,8,25,74,17,19,15,-12.9948302117728,845059
"286","Jeremy Evans",27,22,1,1,4,5,2,5,12,-2.57454234809987,1100602
"287","Joe Ingles",47,22,13,6,1,19,0,8,13,-4.33352385650556,2250000
"288","Joe Johnson",157,66,61,9,1,106,7,20,14,-15.92695014085,24894863
"289","Justise Winslow",97,65,19,8,3,45,8,22,13,-10.7400261006855,2481720
"290","Kawhi Leonard",279,102,26,24,16,108,6,16,13,-19.4931254517157,16500000
"291","Kelly Oubre",29,9,2,0,0,13,5,3,7,-4.3495342122019,1920240
"292","Kent Bazemore",144,53,31,20,5,56,2,22,12,-13.3299670924221,2e+06
"293","Kevin Durant",252,64,25,10,11,79,6,22,9,-22.600780852408,20158622
"294","Kobe Bryant",167,47,39,12,1,124,8,25,11,-21.0862038240347,2.5e+07
"295","Kostas Papanikolaou",21,12,2,3,1,8,1,4,11,-2.34268569390307,800321
"296","Kyle Anderson",35,29,11,7,7,24,5,4,14,-4.54605416753157,1142879
"297","Kyle Singler",33,24,0,8,3,36,4,11,14,-5.31134132270532,5e+06
"298","Lance Stephenson",62,32,20,7,2,38,5,17,13,-7.88178663286321,9e+06
"299","Lance Thomas",93,25,8,3,0,44,3,11,15,-6.07512909251664,1650000
"300","LeBron James",361,100,94,21,9,131,38,46,14,-27.4758878033907,22971000
"301","Luke Babbitt",65,46,10,1,3,34,3,5,11,-7.23498697758023,1100000
"302","Luol Deng",134,50,18,12,6,63,10,10,13,-11.0661857024034,10151612
"303","Marcus Morris",198,91,28,19,5,113,14,24,14,-17.877993828044,5e+06
"304","Mario Hezonja",65,25,10,3,1,39,1,19,14,-6.63846742516841,3741480
"305","Matt Barnes",104,55,16,19,9,71,3,11,15,-9.87595893715936,3542500
"306","Maurice Harkless",97,58,16,7,7,45,7,18,16,-8.14696227247946,2894059
"307","Metta World Peace",55,22,10,7,5,29,5,4,10,-6.69459855367464,1499187
"308","Mike Miller",21,8,2,3,0,6,0,1,10,-1.64609866314571,1499187
"309","Mike Miller",21,8,2,3,0,6,0,1,10,-1.64609866314571,2854940
"310","Omri Casspi",156,91,19,14,2,61,12,28,15,-12.6751461699608,3e+06
"311","Otto Porter",146,52,27,20,4,56,4,13,11,-13.3029998466433,4662960
"312","P.J. Hairston",53,27,7,2,3,35,1,4,11,-6.00513599682077,1201440
"313","P.J. Tucker",94,68,16,15,1,49,5,12,14,-9.16295542653586,5500000
"314","Paul Pierce",68,47,18,8,0,43,3,10,13,-7.81137703949165,3400000
"315","Rasual Butler",33,17,10,6,7,20,1,4,13,-3.83732251084937,1499187
"316","Reggie Bullock",4,6,1,1,0,16,0,2,9,-2.45596350503269,1252440
"317","Richard Jefferson",105,19,15,8,3,45,7,15,14,-7.70993614781394,1499000
"318","Robert Covington",67,27,7,11,4,42,3,19,6,-17.1307250407922,1e+06
"319","Rondae Hollis-Jefferson",70,79,23,22,6,29,10,19,14,-9.58187767336522,1335480
"320","Rudy Gay",237,91,32,15,2,115,8,28,13,-19.8054304087385,12403101
"321","Sam Dekker",0,1,0,1,0,0,0,0,3,-0.307832739008454,1646400
"322","Sergey Karasev",9,4,1,1,0,4,0,2,5,-2.16038271263922,1599840
"323","Solomon Hill",11,6,1,1,0,6,0,3,5,-3.0615661127266,1358880
"324","Stanley Johnson",113,50,17,9,0,72,7,18,14,-10.8759473809196,2841960
"325","T.J. Warren",142,42,8,7,2,60,5,12,13,-9.84179541518621,2041080
"326","Tayshaun Prince",41,33,11,5,2,22,5,6,14,-4.5411376039971,1499187
"327","Terrence Ross",52,14,5,6,1,34,0,6,9,-6.78050716106069,3553917
